text,label
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive
"the bottom line , at least in my opinion , is imposter makes a better short story than it does a film",negative
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive
"poor editing , bad bluescreen , and ultra cheesy dialogue highlight the radical action",negative
a sub formulaic slap in the face to seasonal cheer,negative
"certainly an entertaining ride , despite many talky , slow scenes",positive
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive
"it 's mildly sentimental , unabashedly consumerist studiously inoffensive and completely disposable",negative
"the film is small in scope , yet perfectly formed",positive
another example of how sandler is losing his touch,negative
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror action hybrid,negative
the movie 's biggest shocks come from seeing former nymphette juliette lewis playing a salt of the earth mommy named minnie and watching slim travel incognito in a ridiculous wig no respectable halloween costume shop would ever try to sell,negative
"hard , endearing , caring , warm",positive
in the pile of useless actioners from mtv schmucks who do n't know how to tell a story for more than four minutes,negative
"even when it drags , we are forced to reflect that its visual imagination is breathtaking",positive
a well intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility,negative
"skip this dreck , rent animal house and go back to the source",negative
no amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas,negative
The Department Store Division reported an increase in sales of 4 per cent .,positive
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature length sitcom replete with stereotypical familial quandaries",positive
the all french cast is marveilleux,positive
a solid and refined piece of moviemaking imbued with passion and attitude,positive
the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,positive
it 's a great performance and a reminder of dickens ' grandeur,positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive
there is enough originality in ` life ' to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens,positive
too bad,negative
"thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods",positive
an edifying glimpse into the wit and revolutionary spirit of these performers and their era,positive
one of the most splendid entertainments to emerge from the french film industry in years,positive
"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have",negative
by the numbers yarn,negative
writer director ritchie reduces wertmuller 's social mores and politics to tiresome jargon,negative
"a `` home alone '' film that is staged like `` rosemary 's baby , '' but is not as well conceived as either of those films",negative
this long and relentlessly saccharine film is a clear case of preaching to the converted,negative
"the script is smart , not cloying",positive
the only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles several of them,negative
"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation",negative
"all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula which is a waste of de niro , mcdormand and the other good actors in the cast",negative
the story has little wit and no surprises,negative
"nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme",negative
"star trek was kind of terrific once , but now it is a copy of a copy of a copy",negative
rice never clearly defines his characters or gives us a reason to care about them,negative
"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches it primarily relies on character to tell its story",positive
stay away,negative
a battle between bug eye theatre and dead eye matinee,negative
the bard as black comedy willie would have loved it,positive
"a very slow , uneventful ride around a pretty tattered old carousel",negative
generic thriller junk,negative
"the characters seem one dimensional , and the film is superficial and will probably be of interest primarily to its target audience",negative
but it 's hard to imagine a more generic effort in the genre,negative
a uniquely sensual metaphorical dramatization of sexual obsession that spends a bit too much time on its fairly ludicrous plot,positive
"the year 2002 has conjured up more coming of age stories than seem possible , but take care of my cat emerges as the very best of them",positive
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive
features what is surely the funniest and most accurate depiction of writer 's block ever,positive
an affectionately goofy satire that 's unafraid to throw elbows when necessary,positive
strange occurrences build in the mind of the viewer and take on extreme urgency,positive
"nevertheless , it still seems endless",negative
technically and artistically inept,negative
"lrb d rrb espite its familiar subject matter , ice age is consistently amusing and engrossing",positive
he nonetheless appreciates the art and reveals a music scene that transcends culture and race,positive
"schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self awareness",negative
"gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self hating , self destructive ways",positive
miller comes at film with bracing intelligence and a vision both painterly and literary,positive
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive
"there 's not a single jump in your seat moment and believe it or not , jason actually takes a backseat in his own film to special effects",negative
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature the first to be released in the u s a major director is emerging in world cinema",positive
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative
probably the best case for christianity since chesterton and lewis,positive
"wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , have a whale of a good time",positive
"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement",positive
a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome,negative
"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments",negative
"without a fresh infusion of creativity , 4ever is neither a promise nor a threat so much as wishful thinking",negative
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive
time of favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,negative
"no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing",positive
"for the rest of us , sitting through dahmer 's two hours amounts to little more than punishment",negative
"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie",negative
"an example of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship",positive
"sunk by way too much indulgence of scene chewing , teeth gnashing actorliness",negative
boring and meandering,negative
too slick and manufactured to claim street credibility,negative
the code talkers deserved better than a hollow tribute,negative
imagine o henry 's the gift of the magi relocated to the scuzzy underbelly of nyc 's drug scene,negative
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross out comedy",positive
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths,positive
"nair 's cast is so large it 's altman esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion",positive
"a weird , arresting little ride",positive
enigma lacks it,negative
"the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache",positive
a lovably old school hollywood confection,positive
"the documentary is much too conventional lots of boring talking heads , etc to do the subject matter justice",negative
this is n't a movie it 's a symptom,negative
he 's a better actor than a standup comedian,positive
"showtime is n't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again",negative
"loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness",negative
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive
devos delivers a perfect performance that captures the innocence and budding demons within a wallflower,positive
"piccoli 's performance is amazing , yes , but the symbols of loss and denial and life at arm 's length in the film seem irritatingly transparent",negative
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive
"finally , the french produced `` read my lips '' is a movie that understands characters must come first",positive
the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites,positive
"makes the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self esteem , and not strictly in the knowledge imparted",positive
"the one liners are snappy , the situations volatile and the comic opportunities richly rewarded",positive
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive
a mimetic approximation of better films like contempt and 8 1 2,negative
is significantly less charming than listening to a four year old with a taste for exaggeration recount his halloween trip to the haunted house,negative
"there 's nothing like love to give a movie a b 12 shot , and cq shimmers with it",positive
a genuinely moving and wisely unsentimental drama,positive
charlotte sometimes is a brilliant movie,positive
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,positive
"with we were soldiers , hollywood makes a valiant attempt to tell a story about the vietnam war before the pathology set in",positive
"with a cast of a list brit actors , it is worth searching out",positive
"the movie wavers between hallmark card sentimentality and goofy , life affirming moments straight out of a cellular phone commercial",negative
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive
russian ark is a new treasure of the hermitage,positive
it 's a glorious spectacle like those d w griffith made in the early days of silent film,positive
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",negative
there 's no denying that burns is a filmmaker with a bright future ahead of him,positive
it 's like going to a house party and watching the host defend himself against a frothing ex girlfriend,negative
"although the subject matter may still be too close to recent national events , the film works mostly due to its superior cast of characters",positive
"though its story is only surface deep , the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look see",positive
"a wry , affectionate delight",positive
"although shot with little style , skins is heartfelt and achingly real",positive
"whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , fierce grace reassures us that he will once again be an honest and loving one",positive
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother daughter pair,positive
"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter",positive
"it 's a square , sentimental drama that satisfies , as comfort food often can",positive
great dragons !,positive
the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill,negative
"the film , while not exactly assured in its execution , is notable for its sheer audacity and openness",positive
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive
"an ambitious , guilt suffused melodrama crippled by poor casting",negative
the superior plotline is n't quite enough to drag along the dead lrb water rrb weight of the other,negative
"` in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision '",negative
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble in the ghetto flicks,positive
in terms of execution this movie is careless and unfocused,negative
"like its title character , this nicholas nickleby finds itself in reduced circumstances and , also like its hero , it remains brightly optimistic , coming through in the end",positive
"as violent , profane and exploitative as the most offensive action flick you 've ever seen",negative
"worthless , from its pseudo rock video opening to the idiocy of its last frames",negative
"a pretty decent kid pleasing , tolerable to adults lark of a movie",positive
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",negative
the movie is pretty funny now and then without in any way demeaning its subjects,positive
"in other words , about as bad a film you 're likely to see all year",negative
a different movie sometimes tedious by a director many viewers would like to skip but film buffs should get to know,positive
a dreary movie,negative
and it marks him as one of the most interesting writer directors working today,positive
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism",positive
lrb tries rrb to parody a genre that 's already a joke in the united states,negative
it 's just hard to believe that a life like this can sound so dull,negative
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive
it 's so downbeat and nearly humorless that it becomes a chore to sit through despite some first rate performances by its lead,negative
"the sum of all fears is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots lrb or cinema seats rrb",negative
you 'd be hard put to find a movie character more unattractive or odorous lrb than leon rrb,negative
a reality snubbing hodgepodge,negative
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive
some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny,negative
a modestly surprising movie,positive
moonlight mile gives itself the freedom to feel contradictory things,positive
delirious fun,positive
"a film really has to be exceptional to justify a three hour running time , and this is n't",negative
"director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place",negative
each scene immediately succumbs to gravity and plummets to earth,negative
"if you saw it on tv , you 'd probably turn it off , convinced that you had already seen that movie",negative
essentially a collection of bits and they 're all naughty,positive
"this odd , distant portuguese import more or less borrows from bad lieutenant and les vampires , and comes up with a kind of art house gay porn film",negative
"and more than that , it 's an observant , unfussily poetic meditation about identity and alienation",positive
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",negative
"like its new england characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness",positive
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",negative
"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh faced as its young guns cast",negative
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow,negative
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive
certainly the performances are worthwhile,positive
EPS grew to 0.04 eur from 0.02 eur .,positive
"the story , like ravel 's bolero , builds to a crescendo that encompasses many more paths than we started with",positive
"the journey is worth your time , especially if you have ellen pompeo sitting next to you for the ride",positive
"from a deceptively simple premise , this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times",positive
"with the exception of mccoist , the players do n't have a clue on the park",negative
but i had a lot of problems with this movie,negative
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",positive
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative
"more intimate than spectacular , e t is carried less by wow factors than by its funny , moving yarn that holds up well after two decades",positive
worth catching for griffiths ' warm and winning central performance,positive
it 's tough to be startled when you 're almost dozing,negative
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive
the script ?,negative
"mr polanski is in his element here alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival",positive
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive
definitely worth 95 minutes of your time,positive
"nothing wrong with performances here , but the whiney characters bugged me",negative
"a moving tale of love and destruction in unexpected places , unexamined lives",positive
schneidermeister makin ' a fool of himself losin ' his fan base,negative
a little more intensity and a little less charm would have saved this film a world of hurt,negative
"arliss howard 's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws",positive
"with spy kids 2 the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape a james bond series for kids",positive
michele is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously,negative
"nicolas cage is n't the first actor to lead a group of talented friends astray , and this movie wo n't create a ruffle in what is already an erratic career",negative
remove spider man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies,positive
"a brisk , reverent , and subtly different sequel",positive
"i had a dream that a smart comedy would come along to rescue me from a summer of teen driven , toilet humor codswallop , and its name was earnest",positive
"further sad evidence that tom tykwer , director of the resonant and sense spinning run lola run , has turned out to be a one trick pony a maker of softheaded metaphysical claptrap",negative
"like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll",positive
mordantly funny and intimately knowing,positive
a little weak and it is n't that funny,negative
every joke is repeated at least four times,negative
"this new movie version of the alexandre dumas classic is the stuff of high romance , brought off with considerable wit",positive
This will bring cost savings of about EUR 3mn a year .,positive
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer fueled afternoon in the sun can inspire even the most retiring heart to venture forth",positive
it 's sweet,positive
jackie chan movies are a guilty pleasure he 's easy to like and always leaves us laughing,positive
"finely crafted , finely written , exquisitely performed",positive
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative
`` mr deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought,positive
"the action scenes have all the suspense of a 20 car pileup , while the plot holes are big enough for a train car to drive through if kaos had n't blown them all up",negative
nice piece of work,positive
"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt",positive
trailer trash cinema so uncool the only thing missing is the `` gadzooks ! '',negative
"it 's nice to see piscopo again after all these years , and chaykin and headly are priceless",positive
you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for frida to just die already,negative
it zips along with b movie verve while adding the rich details and go for broke acting that heralds something special,positive
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",negative
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive
"we can tell what it is supposed to be , but ca n't really call it a work of art",negative
"beneath the film 's obvious determination to shock at any cost lies considerable skill and determination , backed by sheer nerve",positive
"intelligent , caustic take on a great writer and dubious human being",positive
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive
"not a strike against yang 's similarly themed yi yi , but i found what time ?",negative
"an ugly , revolting movie",negative
pair that with really poor comedic writing and you 've got a huge mess,negative
"it 's a smartly directed , grown up film of ideas",positive
`` cremaster 3 '' should come with the warning `` for serious film buffs only ! '',positive
"although made on a shoestring and unevenly acted , conjures a lynch like vision of the rotting underbelly of middle america",negative
"there 's little to recommend snow dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",negative
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company,negative
the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar,positive
a delightful entree in the tradition of food movies,positive
an enjoyable experience,positive
a documentary to make the stones weep as shameful as it is scary,negative
where their heads were is anyone 's guess,negative
genuinely unnerving,positive
"you come away thinking not only that kate is n't very bright , but that she has n't been worth caring about and that maybe she , janine and molly an all woman dysfunctional family deserve one another",negative
crush is so warm and fuzzy you might be able to forgive its mean spirited second half,positive
"priggish , lethargically paced parable of renewal",negative
"effective in all its aspects , margarita happy hour represents an auspicious feature debut for chaiken",positive
the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string,positive
it 's like a drive by,negative
"a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions",positive
"alternating between facetious comic parody and pulp melodrama , this smart aleck movie tosses around some intriguing questions about the difference between human and android life",positive
"and if you appreciate the one sided theme to lawrence 's over indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self glorified martin lawrence lovefest",negative
"this starts off with a 1950 's doris day feel and it gets very ugly , very fast",negative
a sobering and powerful documentary about the most severe kind of personal loss rejection by one 's mother,positive
"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial",negative
a gangster movie with the capacity to surprise,positive
"as the sulking , moody male hustler in the title role , lrb franco rrb has all of dean 's mannerisms and self indulgence , but none of his sweetness and vulnerability",negative
"the most wondrous love story in years , it is a great film",positive
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness,positive
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive
or maybe `` how will you feel after an 88 minute rip off of the rock with action confined to slo mo gun firing and random glass shattering ? '',negative
nothing more than an amiable but unfocused bagatelle that plays like a loosely connected string of acting workshop exercises,negative
"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j k rowling 's marvelous series into a deadly bore",negative
an occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten,negative
"patchy combination of soap opera , low tech magic realism and , at times , ploddingly sociological commentary",negative
as inept as big screen remakes of the avengers and the wild wild west,negative
no amount of good intentions is able to overcome the triviality of the story,negative
an uneven mix of dark satire and childhood awakening,negative
"even if it pushes its agenda too forcefully , this remains a film about something , one that attempts and often achieves a level of connection and concern",positive
"the byplay and bickering between the now spy savvy siblings , carmen lrb vega rrb and juni lrb sabara rrb cortez , anchor the film in a very real and amusing give and take",positive
it all looks and plays like a 40 million version of a game you 're more likely to enjoy on a computer,negative
"a delightful , if minor , pastry of a movie",positive
it 's rare that a movie can be as intelligent as this one is in every regard except its storyline everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious,negative
"lrb danny huston gives rrb an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk",positive
"Operating profit surged to EUR21m from EUR106 ,000 .",positive
"while the path may be familiar , first time director denzel washington and a top notch cast manage to keep things interesting",positive
"even if the ring has a familiar ring , it 's still unusually crafty and intelligent for hollywood horror",positive
the problem is that the movie has no idea of it is serious or not,negative
"a pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole",negative
"in no way original , or even all that memorable , but as downtown saturday matinee brain candy , it does n't disappoint",positive
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale you wo n't be sorry !,positive
The optimization of the steel components heating process will reduce the energy consumption .,positive
"shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan",negative
"an extremely funny , ultimately heartbreaking look at life in contemporary china",positive
first timer john mckay is never able to pull it back on course,negative
"shows that jackie chan is getting older , and that 's something i would rather live in denial about",negative
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",negative
more likely to have you scratching your head than hiding under your seat,negative
there 's no energy,negative
"filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity",positive
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients",positive
"a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work is charming , is moving , is funny and looks professional",positive
"a miraculous movie , i 'm going home is so slight , yet overflows with wisdom and emotion",positive
a well crafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity,positive
it 's absolutely amazing how first time director kevin donovan managed to find something new to add to the canon of chan,positive
"nicole holofcenter , the insightful writer director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully",positive
these guys seem great to knock back a beer with but they 're simply not funny performers,negative
"about half of them are funny , a few are sexy and none are useful in telling the story , which is paper thin and decidedly unoriginal",negative
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive
"from the dull , surreal ache of mortal awareness emerges a radiant character portrait",positive
you try to guess the order in which the kids in the house will be gored,negative
an artsploitation movie with too much exploitation and too little art,negative
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative
this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer,negative
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive
returning director rob minkoff and screenwriter bruce joel rubin have done a fine job of updating white 's dry wit to a new age,positive
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them",positive
"if you like peace , you 'll like promises",positive
"i liked it because it was so endlessly , grotesquely , inventive",positive
"the film has a kind of hard , cold effect",negative
good looking but relentlessly lowbrow outing plays like clueless does south fork,negative
